State,City,Resident Population,Workers Working in Area,Workers Living in Area,Children Under 19 Years in Households,Female Under 5,Male Under 5,Female 5-9,Male 5-9,Daytime Population,Children under 10,Land Area m^2,Land Area km^2,Resident Density / km^2,Daytime Density / km^2,Walking Speed km/h,EMS Time min,Walking Distance km,Effective Area km^2,People in A Resident,People in A Daytime
Arizona,Tucson city,531674,289522,228257,114396,17749,16629,13261,18400,592939,66039,2699322,2.699322,196965.7566,219662.1967,5,8,0.666666667,1.396263402,275016.0773,306706.2859
New York,New York city,8550405,4699487,3992612,1790988,277991,291721,233651,248699,9257280,1052062,783842402,783.842402,10908.32159,11810.12915,5,8,0.666666667,1.396263402,15230.89021,16490.0511
California,San Francisco city,864816,713409,497133,115460,20233,19446,16251,16016,1081092,71946,121399963,121.399963,7123.692451,8905.208645,5,8,0.666666667,1.396263402,9946.551054,12434.01691
Massachusetts,Boston city,669469,658490,360257,111641,17813,19706,14978,13119,967702,65616,125037462,125.037462,5354.147383,7739.296564,5,8,0.666666667,1.396263402,7475.800038,10806.09655
District of Columbia,Washington city,672228,839206,358150,116855,21104,22126,16358,16204,1153284,75792,158114680,158.11468,4251.521744,7293.971692,5,8,0.666666667,1.396263402,5936.244212,10184.30573
Illinois,Chicago city,2720556,1484604,1284520,581393,87970,87627,78461,81184,2920640,335242,589571105,589.571105,4614.466308,4953.838435,5,8,0.666666667,1.396263402,6443.010423,6916.863304
Pennsylvania,Philadelphia city,1567442,765006,658498,345066,53751,55906,46460,46333,1673950,202450,347321129,347.321129,4512.94744,4819.603129,5,8,0.666666667,1.396263402,6301.263344,6729.435459
Washington,Seattle city,684443,575744,407361,99562,15775,17716,14275,14301,852826,62067,217410345,217.410345,3148.162062,3922.656026,5,8,0.666666667,1.396263402,4395.663469,5477.061047
Maryland,Baltimore city,621849,368870,266469,131004,20182,21187,19012,18657,724250,79038,209643241,209.643241,2966.224893,3454.678513,5,8,0.666666667,1.396263402,4141.631258,4823.641171
California,Los Angeles city,3971896,2095249,1904999,851215,129580,125919,114441,112065,4162146,482005,1213850147,1213.850147,3272.146904,3428.879595,5,8,0.666666667,1.396263402,4568.778966,4787.619086
Wisconsin,Milwaukee city,600154,300458,269035,155972,21746,21553,21558,22471,631577,87328,248955419,248.955419,2410.688638,2536.908024,5,8,0.666666667,1.396263402,3365.956318,3542.191827
Oregon,Portland city,632187,467873,335447,115135,17400,19010,17839,17375,764613,71624,345573252,345.573252,1829.386379,2212.59312,5,8,0.666666667,1.396263402,2554.305248,3089.362797
Colorado,Denver city,682545,517026,366202,140463,22242,23259,20972,20743,833369,87216,396268588,396.268588,1722.430242,2103.040779,5,8,0.666666667,1.396263402,2404.966309,2936.398872
California,San Jose city,1026919,406583,494087,235433,33652,35606,29862,35447,939415,134567,457201438,457.201438,2246.097485,2054.707011,5,8,0.666666667,1.396263402,3136.143715,2868.9122
Michigan,Detroit city,677124,267693,216025,170425,23609,25626,23712,22073,728792,95020,359361795,359.361795,1884.240366,2028.017475,5,8,0.666666667,1.396263402,2630.895862,2831.646578
Nevada,Las Vegas city,623769,348251,273207,151265,18012,20748,20096,24060,698813,82916,351758506,351.758506,1773.287609,1986.627155,5,8,0.666666667,1.396263402,2475.976589,2773.854789
Texas,Houston city,2298628,1841514,1113447,586865,88475,87889,85832,84381,3026695,346577,1552929379,1552.929379,1480.188366,1949.02295,5,8,0.666666667,1.396263402,2066.732843,2721.349414
California,San Diego city,1394907,905340,700865,284134,45303,45036,37437,40131,1599382,167907,842233444,842.233444,1656.199964,1898.977073,5,8,0.666666667,1.396263402,2312.491396,2651.472187
Texas,Dallas city,1300082,865220,625777,335289,52774,52355,51371,48617,1539525,205117,881939036,881.939036,1474.117764,1745.613854,5,8,0.666666667,1.396263402,2058.256684,2437.336738
Ohio,Columbus city,849067,499843,436106,188634,30729,31661,27562,26582,912804,116534,562466164,562.466164,1509.543248,1622.860286,5,8,0.666666667,1.396263402,2107.71999,2265.940424
Texas,Austin city,931840,692869,522623,194539,28515,33698,26314,30481,1102086,119008,771546901,771.546901,1207.755483,1428.410896,5,8,0.666666667,1.396263402,1686.344779,1994.437856
Texas,San Antonio city,1469824,785535,667835,371859,52004,51732,49505,55085,1587524,208326,1193811736,1193.811736,1231.202505,1329.794265,5,8,0.666666667,1.396263402,1719.082998,1856.743064
Arizona,Phoenix city,1563001,848579,717880,409884,52735,60464,55631,60456,1693700,229286,1338256106,1338.256106,1167.938628,1265.602296,5,8,0.666666667,1.396263402,1630.749961,1767.114166
North Carolina,Charlotte city,827121,561146,418542,195376,28652,27150,28553,27275,969725,111630,770983559,770.983559,1072.81276,1257.776497,5,8,0.666666667,1.396263402,1497.929194,1756.18729
New Mexico,Albuquerque city,559131,294240,259137,127807,16594,19380,16727,18192,594234,70893,486218256,486.218256,1149.958878,1222.154851,5,8,0.666666667,1.396263402,1605.645494,1706.450089
Indiana,Indianapolis city (balance),848423,532309,399674,209525,30324,32889,28420,28613,981058,120246,936107645,936.107645,906.3305962,1048.018361,5,8,0.666666667,1.396263402,1265.476241,1463.309682
Texas,El Paso city,681136,304201,293373,183024,25902,27490,23774,25991,691964,103157,661056631,661.056631,1030.374658,1046.754495,5,8,0.666666667,1.396263402,1438.674425,1461.544992
Texas,Fort Worth city,836969,440436,389152,235567,32001,34873,33824,33277,888253,133975,880127783,880.127783,950.963049,1009.231861,5,8,0.666666667,1.396263402,1327.794902,1409.153511
Tennessee,Memphis city,655760,412261,286411,162861,26008,27209,22846,22685,781610,98748,815988030,815.98803,803.6392397,957.8694433,5,8,0.666666667,1.396263402,1122.092058,1337.438047
Kentucky,Louisville/Jefferson County metro government (balance),615389,346839,288966,140263,20380,20647,18867,18980,673262,78874,842389102,842.389102,730.5282067,799.2292379,5,8,0.666666667,1.396263402,1020.009799,1115.934534
Tennessee,Nashville-Davidson metropolitan government (balance),654596,432005,345181,139404,24114,21859,19976,21095,741420,87044,1230569857,1230.569857,531.9454205,602.5013499,5,8,0.666666667,1.396263402,742.7359222,841.2505843
Florida,Jacksonville city,868031,494728,410407,201808,29180,30368,26001,28855,952352,114404,1934729255,1934.729255,448.6576082,492.2404505,5,8,0.666666667,1.396263402,626.4441981,687.2973258
Oklahoma,Oklahoma City city,631263,402604,300694,163622,24810,24971,22811,23494,733173,96086,1570595903,1570.595903,401.9257906,466.8119907,5,8,0.666666667,1.396263402,561.1942715,651.792498